"text","label"
"Network sensor flagged an unexpected listening service on UDP port 69 on WKS-FIN-014. The traffic block should be enforced via a new firewall rule to close the port before further egress traffic is permitted.","block_port"
"Network sensor flagged an unexpected listening service on UDP port 137 on WKS-ENG-330. The traffic block should be enforced via a new firewall rule to close the port before further egress traffic is permitted.","block_port"
"EDR telemetry on SRV-DB-02 shows a suspicious unauthorized RDP proxy service accepting connections on TCP port 6667. Immediate firewall rule update required to close the port and block egress traffic.","block_port"
"Analyst review of NetFlow data on WKS-ENG-330 identified a listening service on port 6667/tcp associated with a svchost.exe impersonating listening service. A firewall rule change is required to close the port and stop ingress traffic.","block_port"
"EDR telemetry on WKS-HR-221 shows a suspicious svchost.exe impersonating listening service accepting connections on TCP port 8443. Immediate firewall rule update required to close the port and block egress traffic.","block_port"
"Analyst review of NetFlow data on SRV-APP-03 identified a listening service on port 8080/tcp associated with a PowerShell-based backdoor listener. A firewall rule change is required to close the port and stop egress traffic.","block_port"
"Firewall logs indicate unexpected ingress connections on TCP port 1337 from SRV-APP-03, correlating with a rogue Telnet daemon. Close the port and update the firewall rule to prevent further traffic.","block_port"
"Network sensor flagged an unexpected listening service on UDP port 1900 on WKS-ACCT-045. The traffic block should be enforced via a new firewall rule to close the port before further ingress traffic is permitted.","block_port"
"Analyst review of NetFlow data on SRV-DB-02 identified a listening service on port 6667/tcp associated with a cmd.exe reverse shell listener. A firewall rule change is required to close the port and stop egress traffic.","block_port"
"Analyst review of NetFlow data on SRV-DB-02 identified a listening service on port 1337/tcp associated with a svchost.exe impersonating listening service. A firewall rule change is required to close the port and stop ingress traffic.","block_port"
"Port scanning activity was detected targeting SRV-APP-03, revealing an open TCP port 6667 tied to a custom Python socket listener. Recommend a firewall rule to close the port and block all egress connections immediately.","block_port"
"Port scanning activity was detected targeting WKS-ENG-330, revealing an open TCP port 31337 tied to a unauthorized RDP proxy service. Recommend a firewall rule to close the port and block all ingress connections immediately.","block_port"
"SOC investigation on WKS-ENG-330 uncovered an unauthorized unauthorized RDP proxy service bound to UDP port 161. Traffic block via firewall rule is needed to close the port number and restrict egress flows.","block_port"
"EDR telemetry on SRV-APP-03 shows a suspicious svchost.exe impersonating listening service accepting connections on TCP port 1337. Immediate firewall rule update required to close the port and block egress traffic.","block_port"
"Firewall logs indicate unexpected egress connections on TCP port 9001 from SRV-WEB-07, correlating with a Cobalt Strike beacon listener. Close the port and update the firewall rule to prevent further traffic.","block_port"
"SOC investigation on WKS-HR-221 uncovered an unauthorized unauthorized RDP proxy service bound to UDP port 123. Traffic block via firewall rule is needed to close the port number and restrict ingress flows.","block_port"
"IDS alert raised for SRV-AD-02: a svchost.exe impersonating listening service was found listening on port 8443/tcp. Recommend closing the port immediately and applying a firewall rule to block egress traffic on this host.","block_port"
"Threat hunting on SRV-DB-02 discovered a cmd.exe reverse shell listener actively listening on UDP port 4500, generating anomalous egress traffic. Close the port and push a firewall rule to enforce the traffic block.","block_port"
"IDS alert raised for SRV-AD-02: a PowerShell-based backdoor listener was found listening on port 9001/tcp. Recommend closing the port immediately and applying a firewall rule to block ingress traffic on this host.","block_port"
"SOC investigation on WKS-ENG-330 uncovered an unauthorized cmd.exe reverse shell listener bound to UDP port 123. Traffic block via firewall rule is needed to close the port number and restrict ingress flows.","block_port"
"Firewall logs indicate unexpected ingress connections on TCP port 9001 from SRV-DB-02, correlating with a Meterpreter stager listener. Close the port and update the firewall rule to prevent further traffic.","block_port"
"EDR telemetry on WKS-DEV-118 shows a suspicious unauthorized SMB relay service accepting connections on TCP port 31337. Immediate firewall rule update required to close the port and block egress traffic.","block_port"
"SOC investigation on WKS-ENG-330 uncovered an unauthorized rogue Telnet daemon bound to UDP port 4500. Traffic block via firewall rule is needed to close the port number and restrict ingress flows.","block_port"
"Port scanning activity was detected targeting WKS-ENG-330, revealing an open TCP port 4444 tied to a unauthorized SMB relay service. Recommend a firewall rule to close the port and block all ingress connections immediately.","block_port"
"Threat hunting on WKS-FIN-014 discovered a PowerShell-based backdoor listener actively listening on UDP port 1900, generating anomalous egress traffic. Close the port and push a firewall rule to enforce the traffic block.","block_port"
"EDR telemetry on SRV-WEB-07 shows a suspicious rogue Telnet daemon accepting connections on TCP port 8080. Immediate firewall rule update required to close the port and block ingress traffic.","block_port"
"Network sensor flagged an unexpected listening service on UDP port 138 on WKS-ENG-330. The traffic block should be enforced via a new firewall rule to close the port before further egress traffic is permitted.","block_port"
"SOC investigation on WKS-ENG-330 uncovered an unauthorized rogue Telnet daemon bound to UDP port 69. Traffic block via firewall rule is needed to close the port number and restrict egress flows.","block_port"
"SOC investigation on WKS-ACCT-045 uncovered an unauthorized custom Python socket listener bound to UDP port 123. Traffic block via firewall rule is needed to close the port number and restrict ingress flows.","block_port"
"Network sensor flagged an unexpected listening service on UDP port 5353 on SRV-WEB-07. The traffic block should be enforced via a new firewall rule to close the port before further egress traffic is permitted.","block_port"
"Analyst review of NetFlow data on SRV-AD-02 identified a listening service on port 4444/tcp associated with a unauthorized RDP proxy service. A firewall rule change is required to close the port and stop egress traffic.","block_port"
"Analyst review of NetFlow data on SRV-DB-02 identified a listening service on port 8443/tcp associated with a cmd.exe reverse shell listener. A firewall rule change is required to close the port and stop egress traffic.","block_port"
"SOC investigation on SRV-MAIL-01 uncovered an unauthorized unauthorized RDP proxy service bound to UDP port 4500. Traffic block via firewall rule is needed to close the port number and restrict ingress flows.","block_port"
"Analyst review of NetFlow data on SRV-MAIL-01 identified a listening service on port 6667/tcp associated with a svchost.exe impersonating listening service. A firewall rule change is required to close the port and stop egress traffic.","block_port"
"IDS alert raised for SRV-APP-03: a svchost.exe impersonating listening service was found listening on port 9001/tcp. Recommend closing the port immediately and applying a firewall rule to block egress traffic on this host.","block_port"
"Network sensor flagged an unexpected listening service on UDP port 500 on WKS-FIN-014. The traffic block should be enforced via a new firewall rule to close the port before further egress traffic is permitted.","block_port"
"Analyst review of NetFlow data on SRV-WEB-07 identified a listening service on port 4899/tcp associated with a unauthorized SMB relay service. A firewall rule change is required to close the port and stop ingress traffic.","block_port"
"Port scanning activity was detected targeting WKS-DEV-118, revealing an open TCP port 6667 tied to a Cobalt Strike beacon listener. Recommend a firewall rule to close the port and block all ingress connections immediately.","block_port"
"Network sensor flagged an unexpected listening service on UDP port 500 on WKS-FIN-014. The traffic block should be enforced via a new firewall rule to close the port before further egress traffic is permitted.","block_port"
